,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
248836,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,602,9/8/2016,8.5,Club Quarters Hotel Trafalgar Square, United States of America ,No Negative,0,2494, Beautiful spacious room with tall ceilings and exquisite molding Free bottles of water Incredibly helpful and friendly staff Quiet nights and comfortable beds let to good rest Couldn t have asked for a more beautiful comfortable place to stay And it is located in the heart of downtown walking distance to National Museum Trafalgar Square St Martin s In the Fields and many other attractions as well as great restaurants and shopping I will definitely stay there again ,80,2,10.0,"[' Leisure trip ', ' Family with older children ', ' Small Queen Room ', ' Stayed 2 nights ']",329 day,51.506935,-0.12601199999999999,"51.506935,-0.12601199999999999",City of Westminster
249426,8 Pembridge Garden Kensington and Chelsea London W2 4DU United Kingdom,149,12/6/2015,8.9,The Laslett, Ireland , The Bircher muesli the guys need a recipe I can help ,13,623, Staff location were great the room was excellent,9,9,9.6,"[' Business trip ', ' Couple ', ' Master Bedroom Double ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",606 day,51.50952589999999,-0.1967234,"51.50952589999999,-0.1967234",London
38126,12 boulevard Malesherbes 8th arr 75008 Paris France,139,11/16/2015,8.4,Waldorf Madeleine, Italy , Rooms quite noisy work in progress I found some pieces of plaster in the shower Breakfast is too expensive ,21,1184, Good position kind staff ,6,17,7.5,"[' Business trip ', ' Group ', ' Classic Double or Twin Room ', ' Stayed 2 nights ']",626 day,48.8715828,2.3224853,"48.8715828,2.3224853",Paris
324572,Frankenberggasse 10 04 Wieden 1040 Vienna Austria,128,7/14/2017,9.4,Best Western Premier Kaiserhof Wien, United States of America , We liked everything about this hotel,7,1353, We really enjoyed our stay at this hotel The room was large the bed was comfortable The bathroom was modern with a great shower The hotel has a large breakfast room and a buffet breakfast with an excellent selection of both hot and cold items The location is on a quiet street about a 5 minute walk to the metro 10 minutes to the central train station and 10 minutes to central Vienna But what really made this hotel special was JOHANNES at the reception desk He was so pleasant and helpful He made us feel like welcome guests in his home ,104,18,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room Allergy Free ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",20 days,48.1975497,16.3686397,"48.1975497,16.3686397",Wien
136672,3 Rue Caulaincourt 18th arr 75018 Paris France,159,9/27/2016,8.4,Mercure Paris Montmartre Sacr Coeur, United States of America , Room fairly basic but functional,6,1652, Great location for La Cigale close to the Metro decent restaurants Very nice bar with deck ,18,17,7.5,"[' Leisure trip ', ' Couple ', ' Superior Room with 1 kingsize bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",310 day,48.8852794,2.3301021,"48.8852794,2.3301021",Paris
275845,Avenida Bogatell 64 68 Sant Mart 08005 Barcelona Spain,168,6/15/2016,8.2,H10 Marina Barcelona, United States of America , Location was in the middle of no where ,10,1579, Room was clean,4,1,7.1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",414 day,41.393227,2.1927427,"41.393227,2.1927427",Barcelona
437778,Rudolfsplatz 11 01 Innere Stadt 1010 Vienna Austria,120,2/26/2016,8.6,K K Palais Hotel, United Kingdom , No headboard I thought this very odd ,9,992, Bed comfy duvet warm and snug,7,3,7.1,"[' Leisure trip ', ' Group ', ' Executive Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",524 day,48.213809600000005,16.3714293,"48.213809600000005,16.3714293",Wien
157045,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,12/26/2015,7.9,Norfolk Towers Paddington, United Kingdom , Room wasn t hovered properly and breakfast should be more different,12,4065, Great room ,4,3,8.3,"[' Leisure trip ', ' Group ', ' Club Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",586 day,51.5162883,-0.1721078,"51.5162883,-0.1721078",City of Westminster
54573,15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,196,9/5/2016,9.3,The Montague On The Gardens, Australia ,No Negative,0,931, Great Location and friendly helpful staff ,8,1,9.2,"[' Leisure trip ', ' Couple ', ' Classic King Room ', ' Stayed 5 nights ']",332 day,51.520181,-0.1256957,"51.520181,-0.1256957",London
413900,Place Andr Malraux 1st arr 75001 Paris France,172,5/21/2016,8.3,Hotel du Louvre in the Unbound Collection by Hyatt, Ireland , The bed was too hard Would prefer more of a variety at breakfast Also better care with making sure there are no insects in the room ,28,1120, Loved the staff absolutely wonderful and extremely helpful Loved the location excellent and close to a metro station and all the other major touristic sites ,27,5,7.9,"[' Leisure trip ', ' Solo traveler ', ' View Queen ', ' Stayed 3 nights ']",439 day,48.86397879999999,2.3352615,"48.86397879999999,2.3352615",Paris
45509,130 135 Minories City of London London EC3N 1NU United Kingdom,465,6/4/2016,8.9,The Chamberlain, Australia ,No Negative,0,2543, Very pleasant great location,5,2,9.2,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",425 day,51.51224570000001,-0.0757326,"51.51224570000001,-0.0757326",City of London
135421,3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,232,9/15/2015,8.5,Novotel London Paddington, United Kingdom ,No Negative,0,1187, the design of the room,6,1,8.8,"[' Leisure trip ', ' Couple ', ' Superior Room with Queen size bed and Sofa Bed ', ' Stayed 1 night ']",688 day,51.519032,-0.1825943,"51.519032,-0.1825943",City of Westminster
377475,Mariahilfer Stra e 32 34 07 Neubau 1070 Vienna Austria,137,6/10/2017,8.4,NH Wien City, Greece , In the disadvantages were the lack of breakfast in our reservation and the lack of view but we knew both of them before our arrival The view was not required as we booked in the center of Vienna and we wanted access to metro station The breakfast would be appreciated especially in the price of 100 per night but taking into consideration the prices in the hotels across the city the value for money was decent ,78,1538, We booked the room for 4 nights The hotel was located in the center of Vienna The metro station was just below the hotel s entrance The personell was very polite The room was very clean and the towels were changed daily The bed was double large and very comfortable just like we have asked for it we ve asked for a double bed not two single beds attached I will definitely prefer it again in my next visit to Vienna ,83,2,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ']",54 days,48.200287200000005,16.3547746,"48.200287200000005,16.3547746",Wien
295715,Cardenal Reig 11 Les Corts 08028 Barcelona Spain,298,9/8/2016,7.7,Senator Barcelona Spa Hotel, United Kingdom , location in the middle of estate really small lift staff smallest swimmingpoll,13,3097,No Positive,0,5,3.8,"[' Leisure trip ', ' Family with young children ', ' King Room ', ' Stayed 2 nights ']",329 day,41.3777977,2.1135971000000002,"41.3777977,2.1135971000000002",Barcelona
183024,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,8/3/2017,8.7,St James Court A Taj Hotel London, Australia , We were on the fifth floor and a couple of stairs leading to our room were very narrow which is apparently to be addressed ,26,5394, The staff were really lovely Top location down the road from Buckingham Palace and gardens Well dressed doormen add that special touch with caramels on the reception desk a personal favourite Georgeous lobby with a traditional feel it was my idea of what a London hotel should be that you see in the movies Breakfast was yummy too It was the best hotel that we stayed in while on our trip ,73,7,8.3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",0 days,51.4986732,-0.13768670000000002,"51.4986732,-0.13768670000000002",City of Westminster
193654,46 Westferry Circus Tower Hamlets London E14 8RS United Kingdom,122,12/22/2015,8.9,Canary Riverside Plaza Hotel, United Kingdom , Nothing ,3,310, The staff were extremely welcoming and helpful It was a lovely room which was impeccably clean and overall a very short but enjoyable stay ,26,1,9.6,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",590 day,51.506699100000006,-0.0280208,"51.506699100000006,-0.0280208",London
71625,171 Knightsbridge Westminster Borough London SW7 1DW United Kingdom,62,10/19/2016,9.3,Bulgari Hotel London, Georgia ,No Negative,0,169, Very comfortable hotel The room size was quiet big compared to other 5 star hotels in London Concierge service Ian and Luka very helpfull And in general all the staff were very friendly ,35,12,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",288 day,51.501572100000004,-0.1628511,"51.501572100000004,-0.1628511",City of Westminster
283532,Basil Street Knightsbridge Kensington and Chelsea London SW3 1AT United Kingdom,87,6/20/2016,9.0,The Capital, United States of America , First room was not up to par Received complimentary upgrade Hotel could use a renovation in their rooms ,20,355, Staff attentive and moved us to a better room which absolutely improved our experience Concierge very helpful ,19,1,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",409 day,51.499748600000004,-0.1615242,"51.499748600000004,-0.1615242",London
50421,140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,528,5/8/2016,8.7,The Bailey s Hotel London, United Kingdom , Need to be able to open the window with ease ,12,2485, Best location for me to walk everywhere and meet friends go shopping near great restaurants ,17,4,10.0,"[' Leisure trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 1 night ']",452 day,51.4938733,-0.1824963,"51.4938733,-0.1824963",London
229709,66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,377,10/8/2016,8.5,Kingsway Hall Hotel, Finland ,No Negative,0,1363, We arrived late at night due to delays on the railway and were upgraded to a very fine suite at no extra cost Although several reviews commented on street noise we on the 6th floor did not notice any rather we found it blissfully quiet Staff were attentive without being officious and everything was spotlessly clean The courtesy umbrella proved very useful thank you when my wife had her own but I had none The location suited us down to the ground short walk to British Museum and Covent Garden easy transport to the South Bank Unusually for the UK the plumbing worked with proper hot water coming from the proper shower and all drains working properly We could have stayed longer and will come again ,128,3,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",299 day,51.5158643,-0.1200625,"51.5158643,-0.1200625",London
296857,Cardington Street Euston Camden London NW1 2LP United Kingdom,744,1/1/2016,8.3,Thistle Euston, United Kingdom , N A,3,2474, Excellent service nice rooms excellent breakfast and a nice atmosphere during our stay ,15,6,10.0,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ']",580 day,51.5291423,-0.13727820000000002,"51.5291423,-0.13727820000000002",London
306203,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,765,7/28/2017,8.4,NH Collection Amsterdam Grand Hotel Krasnapolsky, Qatar , Nothing ,3,4686, Location staff food everything ,6,11,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",6 days,52.3727067,4.894365799999999,"52.3727067,4.894365799999999",Amsterdam
7093,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,6/11/2016,8.4,Park Plaza County Hall London, South Korea ,No Negative,0,6117, very good location very warmful welcoming wonderful viewing room everything was perfect ,14,6,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",418 day,51.5014001,-0.11600919999999999,"51.5014001,-0.11600919999999999",London
490791,Via Spallanzani 40 Central Station 20129 Milan Italy,353,5/15/2017,8.1,Starhotels Ritz, Russia , The room is not so big actualy but all details you can find in description so everything fine,19,4248, Hotel located right in center but on 2nd line so there is no noise from Buenos Aires av Nearby a lot of shops huge park It takes around 15 min to Duomo Breakfast are pretty good and staff was really helpfull ,43,23,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",80 days,45.4779041,9.2094965,"45.4779041,9.2094965",Milano
